year,state,ObesityPercent,NoLeisureActivityPercent
2011,Alabama,35.63,46.42
2011,Alabama,23.88,33.29
2012,Alabama,38.73,48.75
2011,Alabama,26.84,10.42
2011,Alabama,21.75,14.6
2012,Alabama,25.9,28.9
2011,Alabama,32.93,44.03
2012,Alabama,24.53,39.6
2011,Alabama,35.4,24.37
2011,Alabama,30.56,28.17
2011,Alabama,36.71,38.72
2011,Alabama,32.7,22.34
2012,Alabama,34.56,17.76
2011,Alabama,40.92,45.08
2011,Alabama,26.79,42.37
2012,Alabama,20.24,44.81
2011,Alabama,30.99,31.66
2011,Alabama,23.78,36.9
2011,Alabama,36.12,27.34
2012,Alabama,42.39,12.44
2012,Alabama,42.93,30.24
2012,Alabama,37.83,45.3
2011,Alabama,38.32,20.84
2012,Alabama,30.14,14.59
2011,Alabama,27.02,43.57
2011,Alabama,20.52,27.9
2012,Alabama,39.72,29.86
2011,Alabama,39.82,40.56
2011,Alabama,27.96,32.81
2011,Alabama,36.96,32.49
2012,Alabama,39.71,37.32
2012,Alabama,29.23,15.84
2012,Alabama,41.27,15.77
2012,Alabama,37.42,24.14
2012,Alabama,43.64,15.17
2012,Alabama,44.97,46.4
2012,Alabama,27.09,34.97
2012,Alabama,28.09,21.13
2011,Alabama,24.44,29.32
2012,Alabama,43.4,30.11
2012,Alabama,41.07,35.63
2012,Alabama,35.6,23.91
2012,Alabama,32.02,14.72
2011,Alabama,30.39,46.45
2012,Alabama,22.87,18.02
2012,Alabama,38.26,24.59
2011,Alabama,28.36,49.89
2011,Alabama,42.67,10.69
2012,Alabama,23.54,43.66
2012,Alabama,37.27,38.55
2011,Alabama,35.26,19.73
2012,Alabama,42.38,30.24
2012,Alabama,36.31,19.71
2012,Alabama,33.06,17.89
2011,Alabama,37.37,20.38
2011,Alabama,43.23,26.18
2011,Alabama,24.77,25.31
2012,Alabama,28.56,24.55
2012,Alabama,43.64,23.72
2012,Alabama,20.89,38.13
2011,Alabama,22.37,13.27
2011,Alabama,27.75,37.71
2012,Alabama,22.54,20.44
2011,Alabama,33.94,40.49
2012,Alabama,38.9,24.16
2011,Alabama,24.16,37.2
2011,Alabama,28.98,46.51
2012,Alabama,41.27,37.31
2012,Alabama,22.52,13.57
2011,Alabama,27.32,18.23
2012,Alabama,41.51,18.66
2012,Alabama,22.03,44.87
2011,Alabama,42.48,30.22
2012,Alabama,25.97,28.66
2011,Alabama,32.7,44.13
2011,Alabama,40.0,10.84
2012,Alabama,30.33,28.24
2011,Alabama,30.66,38.37
2012,Alabama,26.21,14.37
2012,Alabama,33.85,37.34
2011,Alabama,21.48,29.45
2012,Alabama,42.82,45.37
2011,Alabama,40.57,13.16
2012,Alabama,30.23,10.25
2011,Alabama,29.06,12.97
2011,Alabama,41.01,16.12
2011,Alabama,38.82,45.77
2011,Alabama,39.09,22.98
2012,Alabama,28.52,39.14
2012,Alabama,37.73,19.06
2012,Alabama,43.22,13.24
2011,Alabama,41.6,46.23
2011,Alabama,35.63,36.67
2012,Alabama,43.04,11.52
2012,Alabama,27.93,23.79
2011,Alabama,28.92,36.77
2011,Alabama,38.75,22.62
2011,Alabama,33.9,16.97
2012,Alabama,43.61,30.45
2011,Alabama,24.7,25.5
2011,Alabama,40.16,11.5
2012,Alabama,36.22,44.5
2012,Alabama,25.43,29.02
2012,Alabama,24.09,46.85
2011,Alabama,31.31,28.38
2012,Alabama,28.76,18.17
2011,Alabama,28.69,49.43
2012,Alabama,23.05,42.87
2012,Alabama,32.43,33.12
2011,Alabama,31.89,49.18
2012,Alabama,34.24,40.42
2012,Alabama,21.62,33.27
2011,Alabama,40.98,15.46
2011,Alabama,27.5,30.28
2012,Alabama,34.91,34.37
2012,Alabama,28.45,42.04
2011,Alabama,25.77,45.33
2011,Alabama,30.22,41.55
2012,Alabama,23.25,24.64
2011,Alabama,35.53,43.71
2011,Alabama,34.24,43.82
2011,Alabama,23.64,28.93
2012,Alabama,44.61,15.68
2011,Alabama,23.91,47.16
2011,Alabama,29.14,29.5
2012,Alabama,29.01,48.87
2011,Alabama,28.34,33.78
2012,Alabama,21.55,30.49
2011,Alabama,42.18,41.0
2011,Alabama,35.06,18.07
2011,Alabama,40.69,13.19
2012,Alabama,25.6,17.19
2012,Alabama,25.37,39.96
2012,Alabama,29.62,18.21
2012,Alabama,29.28,22.7
2011,Alabama,37.41,44.42
2011,Alabama,36.03,20.81
2011,Alabama,41.77,28.47
2012,Alabama,35.39,13.84
2012,Alabama,35.0,41.12
2011,Alabama,43.0,33.52
2012,Alabama,29.55,40.12
2012,Alabama,37.02,34.38
2012,Alabama,32.7,16.54
2012,Alabama,26.9,10.08
2011,Alabama,33.14,13.31
2012,Alabama,27.15,26.7
2012,Alabama,31.53,41.18
2011,Alabama,37.67,22.88
2012,Alabama,32.0,40.76
2012,Alabama,43.79,28.87
2012,Alabama,35.56,16.92
2011,Alabama,34.77,45.14
2011,Alabama,43.26,25.22
2011,Alabama,21.09,11.26
2012,Alabama,33.87,26.43
2011,Alabama,21.54,28.48
2011,Alabama,21.28,42.78
2012,Alabama,26.67,12.85
2011,Alabama,20.7,19.24
2012,Alabama,26.12,27.53
2012,Alabama,23.85,39.56
2011,Alabama,25.33,47.31
2012,Alabama,32.06,30.01
2012,Alabama,26.63,31.24
2012,Alabama,41.42,32.29
2011,Alabama,42.1,25.02
2012,Alabama,34.76,30.81
2012,Alabama,33.06,28.21
2011,Alabama,26.42,34.88
2011,Alabama,44.6,34.88
2012,Alabama,43.3,39.66
2012,Alabama,22.72,25.11
2012,Alabama,22.49,35.09
2012,Alabama,34.9,35.94
2011,Alabama,39.64,29.59
2012,Alabama,44.69,25.8
2012,Alabama,35.08,26.49
2011,Alabama,36.65,30.06
2012,Alabama,34.79,23.94
2011,Alabama,42.6,24.89
2012,Alabama,31.84,22.16
2012,Alabama,23.76,45.38
2012,Alabama,40.22,17.35
2012,Alabama,44.57,35.41
2011,Alabama,25.22,15.08
2011,Alabama,36.8,25.02
2011,Alabama,24.37,22.92
2011,Alabama,33.54,38.51
2012,Alabama,39.52,19.8
2012,Alabama,29.73,12.21
2011,Alabama,36.39,49.41
2012,Alabama,38.35,47.47
2012,Alabama,30.25,19.28
2012,Alabama,34.98,12.5
2012,Alabama,28.18,46.85
2011,Alabama,42.18,26.52
2011,Alabama,28.5,31.45
2011,Alabama,31.47,23.57
2012,Alabama,24.18,31.17
2012,Alabama,34.7,44.67
2011,Alabama,33.36,32.33
2012,Alabama,20.57,19.81
2012,Alabama,33.28,28.56
2012,Alabama,27.52,31.11
2012,Alabama,30.27,28.91
2011,Alabama,35.02,47.52
2012,Alabama,22.85,47.48
2012,Alabama,35.66,49.75
2012,Alabama,27.75,12.33
2011,Alabama,37.84,21.01
2011,Alabama,43.9,49.03
2012,Alabama,26.69,33.81
2011,Alabama,23.07,10.55
2011,Alabama,35.61,45.17
2011,Alabama,35.81,19.95
2011,Alabama,30.53,27.56
2011,Alabama,40.69,25.28
2012,Alabama,38.67,24.63
2012,Alabama,35.97,12.61
2011,Alabama,24.73,41.13
2011,Alabama,20.61,15.64
2012,Alabama,25.49,12.23
2011,Alabama,33.85,13.85
2011,Alabama,25.03,43.32
2012,Alabama,33.59,42.27
2011,Alabama,27.75,16.93
2012,Alabama,36.83,35.31
2012,Alabama,33.42,17.27
2011,Alabama,23.96,41.86
2011,Alabama,42.32,19.63
2012,Alabama,28.85,48.43
2011,Alabama,31.14,29.92
2012,Alabama,41.09,23.4
2012,Alabama,35.13,27.06
2011,Alabama,25.69,11.43
2012,Alabama,39.62,10.48
2011,Alabama,25.57,31.89
2012,Alabama,42.64,10.66
2011,Alabama,37.41,41.2
2012,Alabama,38.33,41.43
2011,Alabama,39.54,19.47
2012,Alabama,22.13,41.64
2012,Alabama,33.2,40.1
2011,Alabama,37.28,42.15
2012,Alabama,35.96,45.1
2011,Alabama,33.49,24.01
2011,Alabama,23.37,39.15
2012,Alabama,29.28,26.4
2011,Alabama,36.22,25.82
2012,Alabama,20.31,40.14
2011,Alabama,43.2,39.26
2011,Alabama,40.38,31.49
2012,Alabama,34.41,24.23
2012,Alabama,40.62,25.43
2012,Alabama,27.08,46.25
2012,Alabama,23.53,44.31
2012,Alabama,25.93,14.0
2011,Alabama,25.0,27.64
2011,Alabama,35.7,30.45
2012,Alabama,43.0,46.18
2011,Alabama,39.27,38.66
2012,Alabama,21.06,34.4
2012,Alabama,28.85,29.12
2012,Alabama,21.51,15.2
2011,Alabama,25.76,12.72
2012,Alabama,24.71,31.37
2012,Alabama,27.81,36.01
2011,Alabama,27.82,32.49
2012,Alabama,23.3,11.19
2012,Alabama,39.76,49.78
2011,Alabama,21.93,17.34
2012,Alabama,31.04,42.16
2012,Alabama,22.63,36.0
2011,Alabama,39.08,43.87
2011,Alabama,39.04,34.46
2012,Alabama,44.82,25.1
2011,Alabama,26.76,35.62
2011,Alabama,33.55,12.54
2011,Alabama,26.75,39.95
2012,Alabama,33.39,22.6
2012,Alabama,31.8,19.61
2012,Alabama,40.16,20.94
2012,Alabama,42.82,43.02
2012,Alabama,20.78,20.36
2011,Alabama,31.4,34.08
2012,Alabama,30.12,31.62
2012,Alabama,20.75,41.2
2011,Alabama,35.07,26.82
2011,Alabama,26.49,41.37
2011,Alabama,29.9,20.7
2012,Alabama,27.9,11.2
2011,Alabama,23.28,36.87
2011,Alabama,29.79,42.24
2011,Alabama,22.16,34.43
2012,Alabama,22.71,10.61
2012,Alabama,35.21,45.4
2011,Alabama,23.87,48.01
2012,Alabama,22.66,41.38
2012,Alabama,30.36,21.94
2011,Alabama,20.05,42.64
2012,Alabama,39.35,29.13
2012,Alabama,31.91,37.28
2012,Alabama,33.75,46.29
2011,Alabama,22.71,27.08
2012,Alabama,36.39,35.62
2012,Alabama,30.54,12.96
2012,Alabama,34.02,27.04
2011,Alabama,36.03,11.85
2011,Alabama,22.59,13.03
2011,Alabama,38.54,30.68
2011,Alabama,22.34,35.34
2012,Alabama,26.27,21.51
2012,Alabama,42.0,46.49
2012,Alabama,21.85,38.33
2011,Alabama,24.67,40.16
2011,Alabama,35.49,12.09
2012,Alabama,39.17,30.27
2011,Alabama,33.82,27.16
2012,Alabama,34.69,46.06
2012,Alabama,33.05,12.76
2011,Alabama,41.78,40.02
2012,Alabama,22.96,39.05
2012,Alabama,38.63,17.98
2012,Alabama,33.67,29.94
2012,Alabama,23.13,17.95
2011,Alabama,24.77,26.03
2012,Alabama,42.04,47.65
2011,Alabama,24.61,38.19
2011,Alabama,29.01,11.17
2012,Alabama,31.18,24.69
2012,Alabama,32.46,26.03
2011,Alabama,27.42,37.0
2012,Alabama,31.24,11.38
2012,Alabama,26.78,34.2
2011,Alabama,39.38,31.94
2011,Alabama,37.24,25.71
2012,Alabama,25.94,42.93
2012,Alabama,39.45,41.48
2012,Alabama,28.68,10.63
2011,Alabama,27.79,36.07
2012,Alabama,28.79,13.48
2012,Alabama,36.09,27.25
2011,Alabama,33.27,49.65
2012,Alabama,39.32,38.33
2012,Alabama,38.91,11.54
2011,Alabama,25.98,47.28
2011,Alabama,28.96,31.92
2012,Alabama,27.26,16.0
2012,Alabama,40.51,23.11
2012,Alabama,43.64,45.26
2012,Alabama,32.27,10.92
2011,Alabama,39.03,26.07
2012,Alabama,35.98,42.05
2011,Alabama,44.39,29.66
2011,Alabama,41.35,17.62
2011,Alabama,40.96,36.46
2012,Alabama,33.41,29.91
2011,Alabama,28.0,45.9
2012,Alabama,33.47,36.22
2012,Alabama,36.64,30.01
2011,Alabama,22.75,27.64
2011,Alabama,36.82,17.03
2012,Alabama,22.96,43.28
2011,Alabama,24.37,37.29
2011,Alabama,20.2,46.55
2011,Alabama,36.54,21.7
2012,Alabama,44.69,23.94
2011,Alabama,21.29,37.09
2011,Alabama,27.52,37.35
2012,Alabama,20.51,38.5
2011,Alabama,29.72,30.99
2011,Alabama,42.15,38.74
2011,Alabama,33.18,30.12
2011,Alabama,24.73,47.8
2011,Alabama,31.77,17.61
2012,Alabama,33.82,14.3
2011,Alabama,28.66,39.49
2012,Alabama,33.84,20.99
2011,Alabama,33.03,30.85
2011,Alabama,38.5,44.21
2012,Alabama,37.28,11.63
2012,Alabama,25.11,17.0
2011,Alabama,38.93,26.48
2011,Alabama,27.52,34.96
2011,Alabama,37.43,49.82
2011,Alabama,27.75,14.77
2011,Alabama,39.79,37.14
2011,Alabama,23.54,32.8
2012,Alabama,25.74,25.12
2011,Alabama,29.51,38.15
2011,Alabama,38.31,26.95
2012,Alabama,28.03,12.37
2011,Alabama,37.52,21.25
2011,Alabama,32.77,41.64
2011,Alabama,41.52,44.97
2012,Alabama,37.13,19.55
2011,Alabama,41.89,16.09
2012,Alabama,22.04,16.77
2012,Alabama,43.67,26.97
2011,Alabama,22.36,32.65
2011,Alabama,27.96,14.89
2012,Alabama,37.5,14.68
2012,Alabama,34.32,15.33
2012,Alabama,21.26,31.15
2011,Alabama,33.16,43.02
2011,Alabama,40.94,24.06
2012,Alabama,39.14,30.98
2011,Alabama,40.48,39.01
2012,Alabama,24.42,23.35
2011,Alabama,41.55,43.54
2012,Alabama,35.34,42.15
2012,Alabama,20.13,42.59
2011,Alabama,35.91,20.67
2012,Alabama,23.97,10.07
2011,Alabama,31.25,11.15
2012,Alabama,36.94,13.84
2012,Alabama,33.72,47.45
2011,Alabama,20.29,23.59
2011,Alabama,25.38,43.37
2012,Alabama,30.33,27.79
2011,Alabama,32.92,33.06
2011,Alabama,42.9,43.38
2012,Alabama,33.18,22.25
2011,Alabama,27.31,47.82
2012,Alabama,44.16,46.83
2011,Alabama,30.15,14.84
2012,Alabama,22.89,46.62
2012,Alabama,32.64,43.42
2012,Alabama,40.33,18.38
2012,Alabama,41.69,47.59
2012,Alabama,20.76,32.97
2011,Alabama,44.49,26.01
2011,Alabama,41.61,31.88
2012,Alabama,39.3,16.91
2012,Alabama,34.35,11.61
2012,Alabama,39.85,28.86
2011,Alabama,20.39,44.61
2012,Alabama,28.56,31.07
2012,Alabama,35.43,43.24
2012,Alabama,44.84,49.08
2011,Alabama,20.2,22.37
2012,Alabama,27.6,45.17
2012,Alabama,29.64,16.66
2011,Alabama,22.98,42.74
2012,Alabama,21.25,27.97
2011,Alabama,22.07,31.11
2011,Alabama,42.47,34.6
2011,Alabama,39.17,20.24
2011,Alabama,36.93,27.07
2012,Alabama,33.12,14.39
2012,Alabama,30.84,47.23
2011,Alabama,26.66,33.35
2012,Alabama,41.92,47.16
2012,Alabama,29.24,26.67
2011,Alabama,26.46,15.77
2011,Alabama,37.08,28.73
2012,Alabama,42.82,21.85
2011,Alabama,36.26,47.64
2012,Alabama,38.17,32.34
2012,Alabama,37.94,33.77
2011,Alabama,22.72,23.61
2011,Alabama,27.42,26.16
2012,Alabama,26.11,46.18
2011,Alabama,39.95,22.1
2011,Alabama,38.46,32.47
2012,Alabama,39.25,34.07
2011,Alabama,41.99,47.43
2011,Alabama,30.22,49.68
2011,Alabama,22.58,15.24
2012,Alabama,21.39,47.16
2011,Alabama,32.44,24.6
2011,Alabama,33.7,43.84
2011,Alabama,23.89,44.85
2012,Alabama,20.83,39.81
2011,Alabama,34.11,19.6
2011,Alabama,34.97,23.44
2012,Alabama,29.72,37.12
2012,Alabama,33.65,42.3
2011,Alabama,32.97,18.02
2012,Alabama,44.5,29.26
2012,Alabama,23.18,18.02
2011,Alabama,36.38,34.35
2012,Alabama,20.72,11.93
2012,Alabama,31.09,22.73
2011,Alabama,25.59,33.63
2012,Alabama,40.77,39.64
2011,Alabama,33.95,32.13
2011,Alabama,25.88,39.59
2011,Alabama,30.62,29.27
2012,Alabama,22.96,49.97
2012,Alabama,39.25,45.29
2012,Alabama,21.28,38.41
2012,Alabama,25.1,22.57
2012,Alabama,34.31,39.89
2011,Alabama,42.67,26.53
2012,Alabama,27.35,38.28
2011,Alabama,23.28,27.03
2012,Alabama,34.77,30.28
2012,Alabama,43.62,48.43
2012,Alabama,23.37,49.49
2012,Alabama,28.09,29.14
2011,Alabama,34.95,38.55
2012,Alabama,30.74,12.16
2012,Alabama,43.07,12.65
2012,Alabama,26.92,24.02
2011,Alabama,28.25,42.44
2011,Alabama,28.55,39.22
2011,Alabama,43.07,38.57
2011,Alabama,30.07,14.27
2012,Alabama,38.75,31.51
2012,Alabama,29.32,48.88
2012,Alabama,37.72,28.91
2012,Alabama,28.19,31.98
2012,Alabama,36.19,41.78
2012,Alabama,41.55,30.4
2011,Alabama,37.83,39.69
2012,Alabama,34.49,23.64
2012,Alabama,29.47,13.95
2012,Alabama,20.58,43.91
2011,Alabama,23.5,34.7
2012,Alabama,35.57,33.43
2011,Alabama,29.02,38.06
2011,Alabama,36.01,22.5
2012,Alabama,24.06,17.77
2011,Alabama,38.59,48.09
2012,Alabama,39.24,33.98
2011,Alabama,33.72,34.29
2011,Alabama,42.6,38.35
2011,Alabama,24.51,45.48
2012,Alabama,33.99,38.99
2012,Alabama,37.23,14.74
2012,Alabama,42.91,26.72
2011,Alabama,25.81,25.73
2011,Alabama,22.59,17.01
2012,Alabama,30.91,25.06
2011,Alabama,42.37,27.37
2011,Alabama,25.44,45.21
2011,Alabama,28.91,28.23
2012,Alabama,24.37,12.68
2012,Alabama,34.1,47.46
2011,Alabama,41.12,48.68
2012,Alabama,35.31,30.85
2011,Alabama,35.49,21.36
2011,Alabama,38.6,23.89
2012,Alabama,42.13,35.12
2012,Alabama,28.1,25.75
2012,Alabama,29.26,19.67
2011,Alabama,34.96,30.06
2012,Alabama,29.42,35.18
2011,Alabama,35.22,37.15
2012,Alabama,24.71,29.55
2011,Alabama,36.75,33.83
2012,Alabama,20.74,13.56
2012,Alabama,32.36,26.85
2011,Alabama,43.42,17.74
2012,Alabama,38.01,42.96
2012,Alabama,33.38,11.58
2012,Alabama,33.39,23.93
2011,Alabama,21.88,22.24
2011,Alabama,30.78,43.1
2012,Alabama,30.87,18.13
2012,Alabama,20.18,11.31
2011,Alabama,39.48,26.68
2011,Alabama,28.09,39.73
2012,Alabama,30.71,49.83
2012,Alabama,25.0,40.11
2012,Alabama,26.46,17.45
2011,Alabama,36.6,43.53
2012,Alabama,21.46,24.13
2011,Alabama,43.6,42.89
2012,Alabama,33.57,38.69
2011,Alabama,39.47,46.24
2012,Alabama,42.86,22.05
2011,Alabama,26.53,28.28
2011,Alabama,20.11,25.74
2011,Alabama,32.66,42.56
2012,Alabama,20.98,41.15
2012,Alabama,43.17,29.59
2011,Alabama,28.85,40.6
2012,Alabama,37.93,42.62
2012,Alabama,32.31,28.4
2012,Alabama,43.39,25.32
2011,Alabama,33.0,44.95
2012,Alabama,32.88,10.75
2011,Alabama,38.32,12.19
2011,Alabama,31.85,41.14
2012,Alabama,20.42,47.09
2011,Alabama,30.14,11.71
2011,Alabama,40.69,44.07
2011,Alabama,34.81,22.18
2011,Alabama,44.18,46.51
2012,Alabama,32.39,20.89
2012,Alabama,26.3,48.27
2012,Alabama,23.92,28.72
2012,Alabama,24.01,30.71
2011,Alabama,26.37,36.47
2011,Alabama,37.31,21.42
2011,Alabama,30.77,45.08
2011,Alabama,44.28,37.19
2012,Alabama,21.35,21.18
2011,Alabama,31.66,23.38
2012,Alabama,24.64,30.22
2012,Alabama,41.56,10.46
2011,Alabama,41.13,14.65
2011,Alabama,33.32,44.73
2012,Alabama,34.64,16.2
2012,Alabama,35.09,32.47
2012,Alabama,25.59,28.41
2012,Alabama,28.28,27.63
2012,Alabama,28.27,18.11
2011,Alabama,41.3,31.31
2012,Alabama,43.37,34.47
2012,Alabama,27.0,26.13
2012,Alabama,30.34,45.96
2011,Alabama,23.33,49.98
2011,Alabama,43.58,10.99
2012,Alabama,35.57,34.8
2012,Alabama,37.95,41.13
2012,Alabama,41.62,26.14
2011,Alabama,39.69,19.44
2011,Alabama,27.52,21.24
2011,Alabama,28.29,34.17
2011,Alabama,33.05,46.13
2011,Alabama,24.91,45.25
2011,Alabama,43.21,24.02
2012,Alabama,22.3,35.5
2012,Alabama,40.34,23.75
2012,Alabama,29.89,20.11
2012,Alabama,35.58,42.28
2012,Alabama,26.35,32.03
2012,Alabama,36.59,19.54
2012,Alabama,28.16,27.7
2011,Alabama,35.51,33.83
2011,Alabama,40.67,42.9
2011,Alabama,44.87,42.21
2011,Alabama,44.05,41.59
2011,Alabama,30.98,49.53
2011,Alabama,20.93,19.95
2012,Alabama,38.52,41.53
2011,Alabama,42.8,45.21
2012,Alabama,23.99,38.08
2012,Alabama,29.03,28.38
2011,Alabama,27.33,27.2
2011,Alabama,42.63,19.2
2012,Alabama,40.16,14.17
2011,Alabama,26.27,24.04
2012,Alabama,43.06,15.15
2012,Alabama,29.2,22.32
2012,Alabama,44.67,41.95
2011,Alabama,22.37,29.82
2012,Alabama,32.95,49.32
2011,Alabama,24.7,24.7
2011,Alabama,39.09,48.95
2011,Alabama,30.06,18.77
2012,Alabama,34.42,47.67
2012,Alabama,34.07,11.38
2012,Alabama,28.18,17.78
2011,Alabama,39.69,47.62
2011,Alabama,21.18,47.88
2012,Alabama,27.01,31.86
2012,Alabama,40.9,41.51
2011,Alabama,29.69,30.67
2012,Alabama,30.91,34.63
2012,Alabama,43.86,11.07
2011,Alabama,23.82,16.66
2011,Alabama,32.39,45.24
2012,Alabama,25.6,17.75
2012,Alabama,33.97,32.19
2011,Alabama,34.6,42.78
2012,Alabama,30.05,37.99
2011,Alabama,22.39,14.64
2012,Alabama,32.59,30.03
2011,Alabama,24.77,27.23
2012,Alabama,25.76,16.01
2011,Alabama,26.28,38.26
2011,Alabama,36.1,23.3
2011,Alabama,34.76,12.56
2012,Alabama,36.89,18.19
2012,Alabama,27.96,44.18
2011,Alabama,44.28,45.75
2011,Alabama,35.21,38.99
2011,Alabama,35.91,32.82
2012,Alabama,42.3,49.45
2011,Alabama,30.94,31.47
2011,Alabama,20.52,22.29
2011,Alabama,32.79,21.46
2012,Alabama,35.2,32.59
2012,Alabama,24.72,22.94
2012,Alabama,24.9,24.11
2012,Alabama,20.6,35.65
2011,Alabama,27.09,14.21
2012,Alabama,33.37,42.11
2011,Alabama,23.21,49.75
2012,Alabama,37.84,22.6
2011,Alabama,36.9,11.98
2012,Alabama,37.19,17.71
2012,Alabama,28.23,18.9
2012,Alabama,40.74,30.11
2012,Alabama,38.86,39.01
2012,Alabama,20.36,22.88
2012,Alabama,42.06,22.17
2011,Alabama,27.9,34.23
2011,Alabama,29.05,37.05
2011,Alabama,32.57,28.35
2011,Alabama,43.73,17.76
2012,Alabama,23.84,34.9
2012,Alabama,41.18,35.66
2012,Alabama,31.89,14.55
2012,Alabama,40.22,24.23
2012,Alabama,27.53,12.6
2012,Alabama,34.21,23.28
2011,Alabama,39.16,24.64
2011,Alabama,22.17,45.31
2011,Alabama,31.87,43.39
2012,Alabama,30.96,26.96
2011,Alabama,23.44,46.35
2011,Alabama,26.44,31.15
2011,Alabama,37.17,17.46
2012,Alabama,21.8,17.7
2012,Alabama,27.16,33.33
2012,Alabama,29.4,33.94
2012,Alabama,36.66,40.8
2012,Alabama,37.42,35.6
2011,Alabama,36.52,17.58
2011,Alabama,42.98,37.89
2012,Alabama,42.76,45.62
2011,Alabama,27.55,34.5
2012,Alabama,25.36,21.57
2011,Alabama,27.69,26.38
2012,Alabama,21.06,20.81
2011,Alabama,21.74,18.21
2012,Alabama,40.08,25.91
2011,Alabama,31.5,31.34
2011,Alabama,38.7,20.3
2011,Alabama,20.28,14.92
2011,Alabama,24.22,21.99
2011,Alabama,26.92,30.66
2011,Alabama,36.38,24.76
2012,Alabama,36.26,28.76
2012,Alabama,42.37,14.51
2011,Alabama,31.4,19.09
2012,Alabama,32.11,32.28
2011,Alabama,20.6,36.02
2011,Alabama,33.14,26.87
2011,Alabama,37.5,22.61
2012,Alabama,44.35,21.56
2011,Alabama,38.47,36.59
2012,Alabama,26.9,29.14
2012,Alabama,23.53,46.39
2011,Alabama,27.92,36.64
2012,Alabama,35.48,35.65
2012,Alabama,23.86,47.35
2012,Alabama,41.8,15.35
2011,Alabama,24.42,40.22
2012,Alabama,32.14,32.31
2011,Alabama,38.76,38.7
2012,Alabama,39.69,46.34
2011,Alabama,26.85,40.28
2011,Alabama,31.53,31.28
2012,Alabama,39.22,34.07
2012,Alabama,21.99,35.0
